product,1,Home Automation ,"Echo has been fine-tuned to deliver crisp vocals with dynamic bass response. Its dual downward-firing speakers produce 360ç omni-directional audio to fill the room with immersive sound. Echo provides hands-free voice control for Amazon Music, Prime Music, iHeartRadio, and TuneIn. Plus, Echo is Bluetooth-enabled so you can stream other popular music services like Spotify, iTunes, and Pandora from your phone or tablet.",product_1.jpg,icon_1.png
product,2,Multi-Room Audio,"Echo has been fine-tuned to deliver crisp vocals with dynamic bass response. Its dual downward-firing speakers produce 360ç omni-directional audio to fill the room with immersive sound. Echo provides hands-free voice control for Amazon Music, Prime Music, iHeartRadio, and TuneIn. Plus, Echo is Bluetooth-enabled so you can stream other popular music services like Spotify, iTunes, and Pandora from your phone or tablet.",product_2.jpg,icon_2.png
product,3,Lighting Automation,"Echo has been fine-tuned to deliver crisp vocals with dynamic bass response. Its dual downward-firing speakers produce 360ç omni-directional audio to fill the room with immersive sound. Echo provides hands-free voice control for Amazon Music, Prime Music, iHeartRadio, and TuneIn. Plus, Echo is Bluetooth-enabled so you can stream other popular music services like Spotify, iTunes, and Pandora from your phone or tablet.",product_3.jpg,icon_3.png
product,4,Motorized Curtains,"Echo has been fine-tuned to deliver crisp vocals with dynamic bass response. Its dual downward-firing speakers produce 360ç omni-directional audio to fill the room with immersive sound. Echo provides hands-free voice control for Amazon Music, Prime Music, iHeartRadio, and TuneIn. Plus, Echo is Bluetooth-enabled so you can stream other popular music services like Spotify, iTunes, and Pandora from your phone or tablet.",product_4.jpg,icon_4.png
product,5,Energy Management,"Echo has been fine-tuned to deliver crisp vocals with dynamic bass response. Its dual downward-firing speakers produce 360ç omni-directional audio to fill the room with immersive sound. Echo provides hands-free voice control for Amazon Music, Prime Music, iHeartRadio, and TuneIn. Plus, Echo is Bluetooth-enabled so you can stream other popular music services like Spotify, iTunes, and Pandora from your phone or tablet.",product_5.jpg,icon_5.png
product,6,Home Theater,"Echo has been fine-tuned to deliver crisp vocals with dynamic bass response. Its dual downward-firing speakers produce 360ç omni-directional audio to fill the room with immersive sound. Echo provides hands-free voice control for Amazon Music, Prime Music, iHeartRadio, and TuneIn. Plus, Echo is Bluetooth-enabled so you can stream other popular music services like Spotify, iTunes, and Pandora from your phone or tablet.",product_6.jpg,icon_6.png
product,7,Security Systems,"Echo has been fine-tuned to deliver crisp vocals with dynamic bass response. Its dual downward-firing speakers produce 360ç omni-directional audio to fill the room with immersive sound. Echo provides hands-free voice control for Amazon Music, Prime Music, iHeartRadio, and TuneIn. Plus, Echo is Bluetooth-enabled so you can stream other popular music services like Spotify, iTunes, and Pandora from your phone or tablet.",product_7.jpg,icon_7.png
product,8,Surveillance,"Echo has been fine-tuned to deliver crisp vocals with dynamic bass response. Its dual downward-firing speakers produce 360ç omni-directional audio to fill the room with immersive sound. Echo provides hands-free voice control for Amazon Music, Prime Music, iHeartRadio, and TuneIn. Plus, Echo is Bluetooth-enabled so you can stream other popular music services like Spotify, iTunes, and Pandora from your phone or tablet.",product_8.jpg,icon_5.png
product,9,Access Control,"Echo has been fine-tuned to deliver crisp vocals with dynamic bass response. Its dual downward-firing speakers produce 360ç omni-directional audio to fill the room with immersive sound. Echo provides hands-free voice control for Amazon Music, Prime Music, iHeartRadio, and TuneIn. Plus, Echo is Bluetooth-enabled so you can stream other popular music services like Spotify, iTunes, and Pandora from your phone or tablet.",product_4.jpg,icon_6.png
product,10,Digital Door Locks,"Echo has been fine-tuned to deliver crisp vocals with dynamic bass response. Its dual downward-firing speakers produce 360ç omni-directional audio to fill the room with immersive sound. Echo provides hands-free voice control for Amazon Music, Prime Music, iHeartRadio, and TuneIn. Plus, Echo is Bluetooth-enabled so you can stream other popular music services like Spotify, iTunes, and Pandora from your phone or tablet.",product_5.jpg,icon_7.png
